ID,Аномалия,Описание,Нарушение_закона,φ_механизм,Инженерное_решение,Потенциал_КПД,Примечания
A027,Coral Castle,Один человек двигал 30-тонные блоки,Физическая невозможность,φ-антигравитация через звуковую левитацию,Акустическая строительная техника,∞,Эдвард Лидскалнин во Флориде
A028,Вечный двигатель Бесслера,Колесо вращалось 54 дня подряд,Закон сохранения энергии,φ-гравитационный дисбаланс,Гравитационный генератор,∞,Проверен Лейбницем в 1712
A029,Эффект Барнетта,Намагничивание при вращении,Магнетизм требует тока,φ-спиновая поляризация от вращения,Безтоковый генератор магнитного поля,∞,Обратный эффект Эйнштейна-де Хааса
A030,Растения растут к музыке,Классическая музыка ускоряет рост,Растения не имеют ушей,φ-резонанс с клеточными ритмами,Акустическое земледелие,>150%,Эффект Дороти Реталлак
A031,N-Machine ДеПальма,Вращающийся диск генерирует избыточную энергию,Закон Фарадея,φ-извлечение энергии вращения пространства,Генератор на эффекте увлечения,>500%,Брюс ДеПальма MIT
A032,Эффект Аспдена,Намагниченный ротор легче раскрутить повторно,Инерция постоянна,φ-память спинового поля,Инерционный аккумулятор,>200%,Гарольд Аспден
A033,Оргонный аккумулятор,Металл-органика концентрирует энергию,Нет такой энергии,φ-градиент создает поток жизненной энергии,Пассивный концентратор биоэнергии,∞,Вильгельм Райх
A034,Эффект Флейшмана-Понса,Электролиз создает нейтроны и тритий,Ядерные реакции требуют MeV,φ-экранирование в решетке палладия,LENR реактор,>10⁶%,Сотни репликаций
A035,Вода течет вверх по капилляру Шаубергера,Спиральное движение поднимает воду,Гравитация,φ-вихрь создает антигравитацию,Безнасосный водоподъемник,∞,Виктор Шаубергер
A036,Магнитный мотор Перендева,Только магниты создают вращение,Магниты не источник энергии,φ-асимметрия магнитного поля,Вечный магнитный двигатель,∞,Майк Брэди
A037,Эффект Сахарова,Вакуум имеет вязкость для ускоренного движения,Вакуум пустой,φ-взаимодействие с нулевыми флуктуациями,Квантовый тормоз/движитель,∞,Основа квантовой гравитации
A038,Брюстерское окно,100% поляризация при угле Брюстера,Частичная поляризация максимум,φ-резонанс с углом золотого сечения,Идеальный оптический фильтр,100%,Используется в лазерах
A039,Эффект Бифельда-Брауна,Асимметричный конденсатор создает тягу,Нет выброса массы,φ-градиент поля создает силу,Ионный/электрогравитационный двигатель,∞,Основа лифтеров
A040,Тесла качал энергию из Земли,Усилитель с КПД > 100%,Закон сохранения,φ-резонанс с резонансом Шумана,Глобальная беспроводная энергия,∞,Башня Ворденклиф
A041,Камни Ики,Древние изображения динозавров с людьми,Временной парадокс,φ-информация из параллельных времен,Хроновизор,∞,Перу 500-1500 н.э.
A042,Антикитерский механизм,Древний компьютер опережал время на 1500 лет,Технологический анахронизм,φ-знание из будущего/прошлого цикла,Временная археология,∞,100 г. до н.э.
A043,Эффект Виллара,Намагниченное железо меняет длину,Магнетизм не механика,φ-магнитострикция через спиновую деформацию,Магнитный актуатор,∞,Основа сонаров
A044,Батарейка Багдада,Гальванический элемент 2000 лет назад,Анахронизм,φ-знание электрохимии в древности,Археологическая энергетика,∞,250 г. до н.э.
A045,Эффект Ребиндера,ПАВ снижают прочность в 1000 раз,Механика материалов,φ-резонанс с межатомными связями,Сверхэффективная обработка материалов,>1000%,Петр Ребиндер СССР
A046,Звуковая левитация,Звук поднимает предметы,Гравитация сильнее звука,φ-стоячие волны создают потенциальные ямы,Акустический манипулятор,∞,Работает даже с жидкостями
A047,Эффект Пельтье избыточный,Термопара дает больше чем теория,Эффективность Карно,φ-асимметрия в наноструктуре,Твердотельный холодильник >100%,>150%,Наноструктурированные материалы
A048,Капля принца Руперта выдерживает пулю,Стекло прочнее стали,Предел прочности стекла,φ-распределение создает сверхпрочность,Программируемая прочность,>1000%,Закалка создает φ-градиент
A049,Эффект памяти металла,Нитинол возвращает форму,Пластическая деформация необратима,φ-память кристаллической решетки,Самовосстанавливающиеся конструкции,∞,Температурная активация
A050,Квантовый ластик,Стирание информации меняет прошлое,Причинность,φ-ретрокаузальность в запутанных системах,Машина времени для информации,∞,Эксперимент подтвержден
